observation_date,CPIAUCNS
1913-01-01,9.883
1914-01-01,10.017
1915-01-01,10.108
1916-01-01,10.883
1917-01-01,12.825
1918-01-01,15.042
1919-01-01,17.333
1920-01-01,20.042
1921-01-01,17.850
1922-01-01,16.750
1923-01-01,17.050
1924-01-01,17.125
1925-01-01,17.542
1926-01-01,17.700
1927-01-01,17.358
1928-01-01,17.158
1929-01-01,17.158
1930-01-01,16.700
1931-01-01,15.208
1932-01-01,13.642
1933-01-01,12.933
1934-01-01,13.383
1935-01-01,13.725
1936-01-01,13.867
1937-01-01,14.383
1938-01-01,14.092
1939-01-01,13.908
1940-01-01,14.008
1941-01-01,14.725
1942-01-01,16.333
1943-01-01,17.308
1944-01-01,17.592
1945-01-01,17.992
1946-01-01,19.517
1947-01-01,22.325
1948-01-01,24.042
1949-01-01,23.808
1950-01-01,24.067
1951-01-01,25.958
1952-01-01,26.550
1953-01-01,26.767
1954-01-01,26.850
1955-01-01,26.775
1956-01-01,27.183
1957-01-01,28.092
1958-01-01,28.858
1959-01-01,29.150
1960-01-01,29.575
1961-01-01,29.892
1962-01-01,30.250
1963-01-01,30.625
1964-01-01,31.017
1965-01-01,31.508
1966-01-01,32.458
1967-01-01,33.358
1968-01-01,34.783
1969-01-01,36.683
1970-01-01,38.825
1971-01-01,40.492
1972-01-01,41.817
1973-01-01,44.400
1974-01-01,49.308
1975-01-01,53.817
1976-01-01,56.908
1977-01-01,60.608
1978-01-01,65.233
1979-01-01,72.575
1980-01-01,82.408
1981-01-01,90.925
1982-01-01,96.500
1983-01-01,99.600
1984-01-01,103.883
1985-01-01,107.567
1986-01-01,109.608
1987-01-01,113.625
1988-01-01,118.258
1989-01-01,123.967
1990-01-01,130.658
1991-01-01,136.192
1992-01-01,140.317
1993-01-01,144.458
1994-01-01,148.225
1995-01-01,152.383
1996-01-01,156.850
1997-01-01,160.517
1998-01-01,163.008
1999-01-01,166.575
2000-01-01,172.200
2001-01-01,177.067
2002-01-01,179.875
2003-01-01,183.958
2004-01-01,188.883
2005-01-01,195.292
2006-01-01,201.592
2007-01-01,207.342
2008-01-01,215.303
2009-01-01,214.537
2010-01-01,218.056
2011-01-01,224.939
2012-01-01,229.594
2013-01-01,232.957
2014-01-01,236.736
2015-01-01,237.017
2016-01-01,240.007
2017-01-01,245.120
2018-01-01,251.107
2019-01-01,255.657
2020-01-01,258.811
2021-01-01,270.970
2022-01-01,292.655
2023-01-01,304.702
2024-01-01,
